ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	31	1	1	0.000000	115.741935	115.741935	0.000000	0.000000	0	88	0
2	34	2	2	0.000000	247.852941	247.852941	0.000000	0.000000	0	187	0
3	31	1	1	0.000000	123.806452	123.806452	0.000000	0.000000	0	82	0
4	247	2	0	0.000000	143.542510	143.542510	0.000000	0.000000	0	417	0
5	9	2	2	0.000000	232.666667	232.666667	0.000000	0.000000	0	103	0
6	33	1	1	0.000000	106.060606	106.060606	0.000000	0.000000	0	56	0
7	11	2	2	0.000000	175.909091	175.909091	0.000000	0.000000	0	67	0
8	59	1	1	0.000000	77.372881	77.372881	0.000000	0.000000	0	109	0
9	85	2	0	0.000000	62.094118	62.094118	0.000000	0.000000	0	130	0
10	31	1	1	0.000000	120.838710	120.838710	0.000000	0.000000	0	78	0
11	31	1	1	0.000000	140.548387	140.548387	0.000000	0.000000	0	86	0
12	59	1	1	0.000000	70.220339	70.220339	0.000000	0.000000	0	108	0
13	33	1	1	0.000000	101.636364	101.636364	0.000000	0.000000	0	105	0
