ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	131	1	0	0.000000	18.167939	18.167939	0.000000	0.000000	0	70	0
2	51	2	2	0.000000	71.372549	71.372549	0.000000	0.000000	0	74	0
3	87	1	1	0.000000	43.356322	43.356322	0.000000	0.000000	0	64	0
4	204	1	1	0.000000	44.617647	44.617647	0.000000	0.000000	0	91	0
5	54	1	1	0.000000	25.037037	25.037037	0.000000	0.000000	0	35	0
6	18	2	2	0.000000	54.722222	54.722222	0.000000	0.000000	0	40	0
7	102	1	1	0.000000	27.735294	27.735294	0.000000	0.000000	0	45	0
8	237	1	1	0.000000	29.637131	29.637131	0.000000	0.000000	0	87	0
9	51	1	1	0.000000	28.039216	28.039216	0.000000	0.000000	0	24	0
10	1	2	2	0.000000	54.000000	54.000000	0.000000	0.000000	0	29	0
11	51	1	1	0.000000	20.803922	20.803922	0.000000	0.000000	0	23	0
12	288	1	1	0.000000	25.437500	25.437500	0.000000	0.000000	0	78	0
13	91	1	1	0.000000	21.835165	21.835165	0.000000	0.000000	0	24	0
14	30	2	2	0.000000	45.000000	45.000000	0.000000	0.000000	0	33	0
15	51	1	1	0.000000	25.176471	25.176471	0.000000	0.000000	0	24	0
16	129	1	1	0.000000	28.604651	28.604651	0.000000	0.000000	0	39	0
17	6	2	2	0.000000	43.166667	43.166667	0.000000	0.000000	0	25	0
18	105	1	1	0.000000	26.990476	26.990476	0.000000	0.000000	0	43	0
19	96	1	1	0.000000	24.291667	24.291667	0.000000	0.000000	0	34	0
20	189	1	1	0.000000	24.730159	24.730159	0.000000	0.000000	0	54	0
21	49	2	2	0.000000	45.714286	45.714286	0.000000	0.000000	0	42	0
22	51	1	1	0.000000	24.686275	24.686275	0.000000	0.000000	0	27	0
23	118	2	2	0.000000	48.813559	48.813559	0.000000	0.000000	0	87	0
24	2	2	2	0.000000	47.000000	47.000000	0.000000	0.000000	0	27	0
25	101	1	1	0.000000	22.603960	22.603960	0.000000	0.000000	0	33	0
26	4	2	2	0.000000	60.250000	60.250000	0.000000	0.000000	0	35	0
27	51	1	1	0.000000	30.862745	30.862745	0.000000	0.000000	0	28	0
28	204	1	1	0.000000	24.857843	24.857843	0.000000	0.000000	0	64	0
29	96	1	1	0.000000	20.645833	20.645833	0.000000	0.000000	0	36	0
30	126	1	1	0.000000	31.087302	31.087302	0.000000	0.000000	0	51	0
31	18	2	2	0.000000	45.277778	45.277778	0.000000	0.000000	0	29	0
32	51	1	1	0.000000	23.725490	23.725490	0.000000	0.000000	0	21	0
33	174	1	1	0.000000	24.517241	24.517241	0.000000	0.000000	0	53	0
34	54	2	2	0.000000	45.907407	45.907407	0.000000	0.000000	0	54	0
35	60	2	2	0.000000	52.800000	52.800000	0.000000	0.000000	0	45	0
36	51	1	1	0.000000	26.823529	26.823529	0.000000	0.000000	0	29	0
37	99	1	1	0.000000	26.727273	26.727273	0.000000	0.000000	0	34	0
38	148	1	1	0.000000	23.344595	23.344595	0.000000	0.000000	0	45	0
39	2	2	2	0.000000	43.500000	43.500000	0.000000	0.000000	0	26	0
40	87	1	1	0.000000	21.885057	21.885057	0.000000	0.000000	0	25	0
41	135	2	2	0.000000	46.355556	46.355556	0.000000	0.000000	0	90	0
42	75	1	1	0.000000	26.973333	26.973333	0.000000	0.000000	0	27	0
43	75	2	2	0.000000	44.013333	44.013333	0.000000	0.000000	0	51	0
44	57	2	2	0.000000	53.122807	53.122807	0.000000	0.000000	0	57	0
45	24	2	2	0.000000	44.750000	44.750000	0.000000	0.000000	0	19	0
46	267	1	1	0.000000	25.217228	25.217228	0.000000	0.000000	0	83	0
47	51	1	1	0.000000	25.784314	25.784314	0.000000	0.000000	0	29	0
48	45	2	2	0.000000	44.133333	44.133333	0.000000	0.000000	0	53	0
